100
1 2 5
1 3 8
2 3 2
2 4 9
3 4 3
3 5 7
4 6 1
5 7 4
6 8 6
7 9 2
8 10 3
9 11 5
10 12 7
11 13 2
12 14 4
13 15 6
14 16 8
15 17 9
16 18 4
17 19 3
18 20 2
19 21 1
20 22 7
21 23 5
22 24 6
23 25 8
24 26 9
25 27 3
26 28 7
27 29 2
28 30 6
29 31 5
30 32 4
31 33 2
32 34 3
33 35 1
34 36 7
35 37 8
36 38 4
37 39 6
38 40 2
39 41 3
40 42 5
41 43 9
42 44 1
43 45 7
44 46 8
45 47 2
46 48 5
47 49 3
48 50 4
49 50 2
50 51 6
51 52 8
52 53 3
53 54 1
54 55 7
55 56 5
56 57 2
57 58 4
58 59 9
59 60 3
60 61 6
61 62 4
62 63 7
63 64 1
64 65 5
65 66 8
66 67 2
67 68 3
68 69 9
69 70 6
70 71 4
71 72 2
72 73 8
73 74 5
74 75 1
75 76 7
76 77 3
77 78 4
78 79 6
79 80 9
80 81 2
81 82 5
82 83 3
83 84 1
84 85 4
85 86 6
86 87 8
87 88 7
88 89 9
